County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
cheyennecounty,2726,ks,cheyennecountyks,446,1674,0.266427718,28.9,93.6,0.4,7.1,90.2,1.4,80,78700,47639,4.3,8.3,2.7,0,329,352,0
clarkcounty,2215,ks,clarkcountyks,738,2215,0.333182844,26.1,94.8,0.5,11,83.6,1.5,74.3,75900,53348,2.3,5.3,2.3,0,162,213,0
claycounty,8535,ks,claycountyks,1635,6601,0.247689744,26.7,92.9,1,2.7,93.4,0.5,71.1,98000,53929,1.6,2.2,13.2,0,753,788,0
cloudcounty,9533,ks,cloudcountyks,3049,7578,0.402348905,24,93,1.1,3.4,92.5,1.2,72.9,75800,45373,1.9,3.7,13.3,35,971,1053,0.033238367
coffeycounty,8601,ks,coffeycountyks,2219,7922,0.280106034,24.5,92.7,0.9,2.8,93,1,75.9,119100,59583,0.4,1,13.7,0,863,929,0
comanchecounty,1891,ks,comanchecountyks,247,1199,0.206005004,16,93.9,0.5,7.9,88.9,0.5,79.6,70300,54821,0.6,3.2,2.4,0,222,231,0
cowleycounty,36311,ks,cowleycountyks,10478,28368,0.369359842,21.8,90.7,2.8,11.2,79.2,1.9,67.4,89000,50102,3.6,6.7,32.3,257,2242,2604,0.098694316
crawfordcounty,39134,ks,crawfordcountyks,13060,31750,0.411338583,29.9,92.1,2.4,6.1,86,1.9,59.4,93900,41004,3.6,5.8,66.4,122,2168,2515,0.048508946
decaturcounty,2961,ks,decaturcountyks,558,1643,0.339622642,22.5,94,1.2,3.3,93.5,0.2,73.7,67900,48125,3,4.4,3.3,0,321,355,0
dickinsoncounty,19754,ks,dickinsoncountyks,5610,15509,0.36172545,22.9,91.5,1.1,4.8,90.4,0.7,70.6,114700,49991,1.9,2.5,23.3,81,1616,1756,0.046127563
doniphancounty,7945,ks,doniphancountyks,2389,7349,0.325078242,21.1,90.3,3.3,2.8,90.2,0.5,72,100600,49703,0.8,1.9,20.2,27,412,471,0.057324841
douglascounty,110826,ks,douglascountyks,25779,74348,0.346734277,49.6,95.4,4.7,6.5,78.1,5,51.3,199400,59435,7.1,10.2,243.1,907,8708,10121,0.089615651
edwardscounty,3037,ks,edwardscountyks,561,1846,0.303900325,18.1,85.4,1.8,21.1,75,0.2,78,61400,50902,9,19.4,4.9,0,214,244,0
elkcounty,2882,ks,elkcountyks,1079,2325,0.464086022,15.6,88.5,0.2,4.7,89.4,0.5,79.5,54700,38750,0.8,3.5,4.5,0,467,472,0
elliscounty,28452,ks,elliscountyks,7524,21919,0.343263835,36.3,93.3,1.4,5.9,89.1,1.8,61.2,169100,52883,2.7,6.5,31.6,121,3531,3805,0.031800263
ellsworthcounty,6497,ks,ellsworthcountyks,2126,6228,0.341361593,19.5,91.6,5.4,6.3,85.6,0.6,76.8,99400,54902,2,3.5,9.1,0,559,609,0
finneycounty,36776,ks,finneycountyks,9369,24152,0.387918185,17.1,71,4.4,50.8,40.1,4.2,64.4,152500,60798,22.7,45.4,28.2,992,1918,3077,0.32239194
fordcounty,33848,ks,fordcountyks,9335,23011,0.405675546,17.7,73.6,2.8,56,38.9,1.5,61.5,112500,51711,25.8,52.4,30.8,621,1646,2450,0.253469388
franklincounty,25992,ks,franklincountyks,8152,25252,0.322825915,20.4,92.2,1.5,4.2,90.9,0.6,72.3,128000,56582,1.8,2,45.5,88,1706,1884,0.04670913
gearycounty,34362,ks,gearycountyks,10431,28507,0.365910127,23.2,93.8,18.1,16.3,56.6,3.3,37.9,148800,53133,7,15.9,89.3,499,1137,1722,0.289779326
govecounty,2695,ks,govecountyks,911,2695,0.338033395,19.7,92.1,0.6,3.1,94.3,0.9,75.8,89600,48317,2,2.6,2.5,0,401,438,0
grahamcounty,2597,ks,grahamcountyks,611,1734,0.352364475,24.7,92.6,3.9,3.9,87.8,1.7,82.3,72500,46375,1.7,2.4,2.9,0,459,537,0
grantcounty,7829,ks,grantcountyks,1868,5768,0.323855756,14.9,77,1,48.5,49,0.6,74.5,116100,53413,15.5,36.7,13.6,159,394,588,0.270408163
graycounty,6006,ks,graycountyks,1328,5592,0.237482117,20.2,77.4,1.9,16.1,81.4,0.6,78.1,135500,64930,11.5,20.3,6.9,78,760,868,0.089861751
greeleycounty,1247,ks,greeleycountyks,172,572,0.300699301,27.2,87,0.6,19.6,78.6,0.4,63,111200,54112,10.8,23,1.6,0,155,162,0
greenwoodcounty,6689,ks,greenwoodcountyks,1930,5388,0.358203415,19.9,92.4,0.6,4.1,91.2,0.4,73.8,66700,41982,1.1,1.4,5.9,28,648,738,0.037940379
hamiltoncounty,2690,ks,hamiltoncountyks,514,1351,0.380458919,18.7,80.8,3.1,37,59.8,0.2,71.7,81800,46944,15.7,26.6,2.7,29,172,209,0.138755981
harpercounty,6034,ks,harpercountyks,1575,4557,0.34562212,16.2,89.6,0.7,6.2,89.7,0.5,69.6,74300,49865,1.6,5.5,7.5,0,868,905,0
harveycounty,34684,ks,harveycountyks,7482,27955,0.267644429,33.2,90.5,1.8,12.1,82.4,1.1,71.6,126100,57982,3.6,6,64.3,186,2523,2848,0.065308989
haskellcounty,4256,ks,haskellcountyks,1217,3072,0.396158854,17.1,72.4,0.6,31.4,65.9,0.8,76.2,107000,55064,18.4,38.3,7.4,69,419,506,0.136363636
hodgemancounty,1916,ks,hodgemancountyks,336,1204,0.279069767,30.8,91.1,1.3,6.9,85.6,4.3,81.5,84800,61211,4.7,8.5,2.2,0,300,311,0
jacksoncounty,13462,ks,jacksoncountyks,2898,11571,0.250453721,20.2,94.6,0.9,4.8,83.4,0.5,75.6,134700,57914,1.3,3.1,20.5,52,846,930,0.055913978
jeffersoncounty,19126,ks,jeffersoncountyks,3238,15418,0.210014269,23.2,93.5,0.8,3,93.3,0.3,84.1,150600,64864,0.5,1.6,35.9,45,1485,1565,0.028753994
jewellcounty,3077,ks,jewellcountyks,1035,2339,0.442496794,19.3,93.1,0.3,2.6,94.9,0.5,81.3,56100,40676,1.3,1.4,3.4,0,276,286,0
johnsoncounty,544179,ks,johnsoncountyks,55452,387599,0.143065385,56,96,4.9,7.9,79.4,5.4,69.2,259600,89087,8.9,11.9,1149.6,6058,48367,56873,0.106518031
kearnycounty,3977,ks,kearnycountyks,1074,2859,0.375655824,14.7,75.9,1.1,32.6,62.9,0.7,76.1,116700,52599,13.1,24.2,4.6,87,306,418,0.208133971
kingmancounty,7858,ks,kingmancountyks,1480,6874,0.215304044,24.4,93.6,0.4,3.8,92.7,0.6,78.6,91500,60469,1.1,3.6,9.1,0,649,686,0
kiowacounty,2553,ks,kiowacountyks,689,2230,0.30896861,28.1,88.2,1.4,6.1,88.6,1.5,70.6,113900,53274,4.2,7.6,3.5,0,305,346,0
labettecounty,21607,ks,labettecountyks,6013,17312,0.347331331,18.7,89.8,4.3,4.7,85,0.5,69.5,76400,47643,0.6,3.7,33.5,122,1111,1325,0.092075472
lanecounty,1750,ks,lanecountyks,245,777,0.315315315,23.1,94.3,1.2,8.9,86.6,0.3,75.6,90800,52125,3.1,6,2.4,0,181,193,0
leavenworthcounty,76227,ks,leavenworthcountyks,15275,70824,0.215675477,31.5,92.2,9.3,7.3,78.7,1.5,67.4,182900,73013,2.7,4.7,164.7,478,3658,4339,0.110163632
lincolncounty,3241,ks,lincolncountyks,666,2287,0.291211194,22.8,93.3,0.7,3.7,93.4,0.4,77.9,72700,45076,0.4,2.4,4.5,0,289,325,0
linncounty,9656,ks,linncountyks,2653,7311,0.362877855,16.2,89.7,0.9,2.9,93,0.4,77.5,110100,48778,0.4,0.9,16.3,0,897,930,0
logancounty,2756,ks,logancountyks,535,1687,0.317131002,16.6,91,0.8,6.9,89.7,0.9,69.2,86600,51740,2.1,2.8,2.6,0,474,488,0
lyoncounty,33690,ks,lyoncountyks,7753,23097,0.335671299,27.5,88.3,2.5,21.8,70.5,2.7,60,106800,46338,10.2,17.9,39.8,197,2166,2558,0.077013292
marioncounty,12660,ks,marioncountyks,3129,9197,0.340219637,25,91.6,1.1,4.1,92,0.5,78.5,90800,52123,1,2.7,13.4,25,900,966,0.025879917
marshallcounty,10117,ks,marshallcountyks,2619,8290,0.315922799,18.9,92.2,0.6,2.7,94.3,0.5,78.7,98900,51895,1.1,3,11.2,27,1095,1161,0.023255814
mcphersoncounty,29180,ks,mcphersoncountyks,6457,23825,0.271017838,28,91.3,1.3,4.5,91.2,0.9,69.5,151800,59089,1.6,3.8,32.5,68,2641,2842,0.023926812
meadecounty,4575,ks,meadecountyks,1316,4478,0.293881197,20.3,80.7,1.1,18.9,77.2,0.9,69.2,96800,59316,10.6,21.2,4.7,29,375,422,0.068720379
miamicounty,32787,ks,miamicountyks,6160,30355,0.202931972,29.8,96,1.5,3.4,92.2,0.6,79.2,201400,71995,1.3,2.1,57,86,2529,2696,0.03189911
mitchellcounty,6373,ks,mitchellcountyks,1669,4820,0.34626556,26.1,94.8,0.3,2.7,94.3,0.9,71.3,88900,46203,1.3,2,9.1,0,597,638,0
montgomerycounty,35471,ks,montgomerycountyks,11820,30052,0.393318248,19.5,88.8,5.3,7.2,78.7,1,68.8,76200,45157,2.6,4.2,55.1,155,2274,2589,0.059868675
morriscounty,5923,ks,morriscountyks,1496,5103,0.293160886,21.4,91.2,0.6,5.3,91.3,0.7,80.4,103000,55658,1.9,3.8,8.5,0,566,584,0
mortoncounty,3233,ks,mortoncountyks,551,1573,0.350286078,17.3,84,1.7,22.6,71.6,1.7,69.5,88500,47750,11,21.4,4.4,51,452,524,0.097328244
nemahacounty,10178,ks,nemahacountyks,2243,8281,0.270861007,25.4,94.2,0.8,2.3,94.8,0.3,74.9,130500,63216,0.8,2.2,14.2,0,958,1013,0
neoshocounty,16512,ks,neoshocountyks,5041,13159,0.383083821,18.1,90.8,1.3,5.9,89.1,0.7,70.4,82000,46291,2.3,3.3,28.9,47,1485,1589,0.029578351
nesscounty,3107,ks,nesscountyks,730,1994,0.366098295,19.4,90.9,1,10.4,87.2,0.2,83.4,73300,56492,7.1,11.1,2.9,0,428,440,0
nortoncounty,5671,ks,nortoncountyks,1647,4490,0.366815145,18.8,89.1,3.6,5.5,88.3,0.7,80.2,82900,49038,2.2,2.9,6.5,0,715,754,0
osagecounty,16295,ks,osagecountyks,3922,13812,0.28395598,19.2,90.8,0.7,3.5,93.1,0.5,74.7,115700,54090,0.7,2.1,23.1,0,1059,1147,0
osbornecounty,3858,ks,osbornecountyks,709,2251,0.314971124,23.6,93.9,0.5,2.3,94,1.2,74.8,69000,51286,0.9,2.5,4.3,0,443,496,0
ottawacounty,6091,ks,ottawacountyks,1520,4706,0.322991925,24.5,94.9,1.2,2.7,94,0.4,79.6,105700,54784,1,1.9,8.5,0,500,529,0
pawneecounty,6973,ks,pawneecountyks,1387,5139,0.269896867,19.6,90.6,5.7,7.3,84.2,0.5,66.1,82400,49917,1.2,2.8,9.2,0,360,400,0
phillipscounty,5642,ks,phillipscountyks,1294,4318,0.299675776,21.8,92.4,0.4,3.3,93.7,1,75.7,79600,50093,1.8,2.4,6.4,0,463,508,0
pottawatomiecounty,21604,ks,pottawatomiecountyks,4456,18588,0.239724553,33.8,94.2,1.2,5.1,90,1,78.7,183100,66835,2.3,4.6,25.7,113,1998,2250,0.050222222
prattcounty,9656,ks,prattcountyks,2572,7649,0.336253105,30.3,92.1,1.7,7.3,87.8,1,67.7,91900,52327,2.2,7.4,13.1,37,767,873,0.042382589
rawlinscounty,2519,ks,rawlinscountyks,572,1610,0.355279503,24.1,95.8,0.9,7.7,88.7,0.9,74.1,101600,53207,3.6,7.8,2.4,0,484,517,0
renocounty,64511,ks,renocountyks,15169,48291,0.314116502,20.9,88.5,3.4,9.7,83.9,0.6,69.3,101300,49936,2.8,6.6,51.4,256,4252,4898,0.052266231
republiccounty,4980,ks,republiccountyks,908,3449,0.263264714,25.5,95.9,0.8,2.4,94.7,0.6,72.9,66000,47976,1.4,1.7,6.9,0,531,554,0
ricecounty,10083,ks,ricecountyks,2693,7703,0.34960405,22.8,91.6,1.7,11.6,82.7,1.3,74.5,74700,53012,4.7,7.6,13.9,0,730,818,0
rileycounty,71115,ks,rileycountyks,29606,63461,0.466522746,45.6,95.8,7,8.4,76.4,4.9,43.2,201000,51208,8.1,11.2,116.6,380,4049,4724,0.080440305
rookscounty,5181,ks,rookscountyks,798,2718,0.293598234,23.1,88.7,0.8,2.4,94.1,0.8,77,78800,49415,0.7,1.5,5.8,0,623,652,0
rushcounty,3307,ks,rushcountyks,813,2339,0.347584438,23.7,92.1,0.5,4.2,92.6,0.4,75.8,70800,47981,0.6,2.2,4.6,0,364,387,0
russellcounty,6970,ks,russellcountyks,1406,5004,0.28097522,23.1,88.1,1.3,3.9,91.5,0.7,78,93400,44792,2.2,4.2,7.9,39,1018,1087,0.035878565
salinecounty,55606,ks,salinecountyks,13980,42534,0.328678234,27.3,91.5,3.6,11.8,79.6,2.3,66.7,136800,52200,5.9,9.9,77.2,255,3744,4376,0.058272395
scottcounty,4936,ks,scottcountyks,678,2955,0.229441624,25.1,84.4,0.8,18.3,78.2,1.3,70,136200,65417,7.5,13.6,6.9,0,354,398,0
sedgwickcounty,498365,ks,sedgwickcountyks,124503,378082,0.32930158,30.9,89.6,9.3,15,67.6,4.6,62.9,140700,56524,8.6,14.7,499.6,6300,31578,39648,0.158898305
sewardcounty,22952,ks,sewardcountyks,6893,14908,0.462369198,11,66.3,4.6,63.1,28.9,3,66.7,105300,49291,30.6,58.9,35.9,495,1229,1838,0.269314472
shawneecounty,177934,ks,shawneecountyks,45029,142457,0.316088364,30.9,92.2,8.5,12.8,73.5,1.6,64.4,132500,56762,4.1,8.3,327.1,1431,10998,13147,0.108846125
sheridancounty,2556,ks,sheridancountyks,487,1495,0.325752508,22,96.1,0.8,5.7,92.2,0.4,76.7,113900,62885,2.6,6,2.9,0,282,304,0
shermancounty,6010,ks,shermancountyks,1943,5983,0.324753468,21.8,92.3,1.1,12.4,84,0.5,66.9,111400,54754,3.8,11.4,5.7,51,648,740,0.068918919
smithcounty,3853,ks,smithcountyks,1157,3269,0.353930866,22.3,93,0.3,2.3,94.2,0.5,77.1,70200,43429,1,1.2,4.3,0,418,456,0
staffordcounty,4437,ks,staffordcountyks,1071,3433,0.311972036,25.2,90.7,0.7,13.4,83,0.5,81.2,65900,49375,5.3,9.6,5.6,0,534,569,0
stantoncounty,2235,ks,stantoncountyks,356,1295,0.274903475,19,78.5,1,38,57.1,0.3,74.4,92600,52054,11.5,35,3.3,35,118,170,0.205882353
stevenscounty,5724,ks,stevenscountyks,1630,4557,0.357691464,13.7,78.2,0.9,37.4,59.3,0.7,70.2,114900,57806,19.5,34.6,7.9,44,358,423,0.104018913
sumnercounty,24132,ks,sumnercountyks,5957,19885,0.299572542,23.3,92.3,1.3,5.6,89.2,0.6,74.1,89800,55000,1.2,2.5,20.4,109,1669,1851,0.058887088
thomascounty,7900,ks,thomascountyks,2124,7368,0.288273616,22.6,93.3,1.2,7.5,88.9,0.8,67.6,129700,60124,5.2,5.2,7.4,0,986,1044,0
tregocounty,3001,ks,tregocountyks,461,2170,0.212442396,24.8,93.2,0.7,2.6,94.3,0.5,74.9,99300,57966,2,0.5,3.4,0,432,474,0
wabaunseecounty,7053,ks,wabaunseecountyks,1466,6529,0.224536682,24.2,95.4,0.7,4.6,91.4,0.3,85.5,146700,61178,1.2,2,8.9,44,548,603,0.072968491
wallacecounty,1485,ks,wallacecountyks,250,910,0.274725275,32.4,94.7,0.9,9.1,88.2,0.1,75.9,89400,63269,3.9,4.1,1.6,0,194,205,0
washingtoncounty,5799,ks,washingtoncountyks,1562,4810,0.324740125,20.3,91.6,0.6,4,93.3,0.8,77.9,82000,50588,2.6,3.2,6.5,0,546,578,0
wichitacounty,2234,ks,wichitacountyks,468,1373,0.340859432,20.6,86.6,1.7,30.7,66.4,0.4,73.3,88900,57978,13.5,26.7,3.1,47,231,297,0.158249158
wilsoncounty,9409,ks,wilsoncountyks,2892,7161,0.40385421,16.5,88.5,0.5,3.7,91.5,0.5,73.3,73500,48341,1.1,1.4,16.5,43,722,820,0.052439024
woodsoncounty,3309,ks,woodsoncountyks,1129,2222,0.50810081,17.2,90.7,0.6,3.3,92.2,0.1,77.1,73600,39643,0.2,1,6.6,0,263,276,0
wyandottecounty,157505,ks,wyandottecountyks,46607,109126,0.427093452,18.1,78.9,22.6,29.8,40.3,5.4,57.4,100300,46881,16.8,28.1,1039,3475,5356,9481,0.366522519
adaircounty,18656,ky,adaircountyky,7840,16197,0.484040254,15.7,79.6,2.9,2.2,93,0.4,76.1,96400,38021,1.6,2.6,46,78,1617,1725,0.045217391
allencounty,19956,ky,allencountyky,8668,19070,0.45453592,16.1,82.1,1.3,2.4,94.6,0.3,74.9,120600,44036,1.9,6.4,58,0,1201,1242,0
andersoncounty,21421,ky,andersoncountyky,6370,19289,0.330240033,20.2,89.9,2.1,1.9,93.4,0.7,76.1,149800,55334,1.1,2.2,106.1,71,1331,1461,0.048596851
ballardcounty,8249,ky,ballardcountyky,2651,7156,0.370458357,15.9,87.2,3.4,1.5,92,0.5,80.7,102900,45048,2.5,4,33.4,64,542,638,0.10031348
barrencounty,42173,ky,barrencountyky,15292,35235,0.434000284,16.3,83,4.2,3.4,90,0.8,66.7,125400,41459,1.9,4.3,86.5,175,3289,3621,0.048329191
bathcounty,11591,ky,bathcountyky,5496,11462,0.47949747,14.5,76.9,1.4,1.7,94.8,0.4,72.1,89700,44898,0.5,4.4,41.6,0,908,939,0
bellcounty,28691,ky,bellcountyky,15382,24476,0.628452361,9.2,69.6,2.5,1.2,94,0.4,66,59800,26272,0.4,0.5,79.9,79,1647,1848,0.042748918
boonecounty,118811,ky,boonecountyky,20783,104741,0.198422776,32.1,93.1,3.8,4.4,87.3,2.4,74.5,189800,78327,5.7,7.3,482.3,769,7551,8886,0.086540626
bourboncounty,19985,ky,bourboncountyky,7070,18741,0.377247746,19.4,84,5.9,6.8,85.1,0.5,63.2,146700,49637,5.2,7.1,69,95,1386,1565,0.060702875
boydcounty,49542,ky,boydcountyky,14777,40010,0.369332667,19.4,88.2,2.9,1.9,93.1,0.6,68.8,111200,48308,1.1,1.9,309.9,84,2973,3284,0.025578563
boylecounty,28432,ky,boylecountyky,9251,25208,0.366986671,25.2,87.1,8.2,3.4,85.2,1,67.2,146400,46382,2.5,3.9,157.8,207,2018,2390,0.086610879
brackencounty,8488,ky,brackencountyky,2473,6936,0.356545559,13.2,85.7,0.8,1.7,95.8,0.1,74,103100,49158,0.4,2.1,41.3,0,892,923,0
breathittcounty,13878,ky,breathittcountyky,8517,13604,0.626065863,15.2,75.6,0.6,1.2,96.3,0.6,71,54000,27344,0.5,0.7,28.2,0,554,594,0
breckinridgecounty,20059,ky,breckinridgecountyky,7111,17757,0.40046179,11.9,84.1,2.2,1.9,93.7,0.4,80.6,102900,47190,0.8,3.5,35.4,0,1315,1367,0
bullittcounty,74319,ky,bullittcountyky,16793,66190,0.253709019,14.7,88.5,1.4,2.3,94,0.6,80.3,165500,63348,1.6,2.5,250.2,226,4693,5033,0.044903636
butlercounty,12690,ky,butlercountyky,5033,11562,0.43530531,13.9,79.6,0.7,3.4,94.4,0.3,72,92100,41763,2,4.4,29.8,0,670,698,0
caldwellcounty,12984,ky,caldwellcountyky,3609,10398,0.347085978,15.3,87,5.4,1.7,90.8,0.5,76.4,87900,44775,1.9,2.3,37.7,40,837,922,0.043383948
callowaycounty,37191,ky,callowaycountyky,13001,31577,0.411723723,28.5,89.5,4,2.7,89.8,1.8,62.4,137300,42273,3.9,4.8,96.6,117,2332,2554,0.045810493
campbellcounty,90336,ky,campbellcountyky,19120,71895,0.26594339,36.3,90.8,3,2.2,92.2,1.1,69.7,172000,63050,2.2,3.7,597,285,6118,6627,0.043005885
carlislecounty,5104,ky,carlislecountyky,2142,4671,0.458574181,14.9,83.3,1.5,2.5,93.1,0.3,81.7,89300,45109,1.2,1.5,26.9,0,505,514,0
carrollcounty,10811,ky,carrollcountyky,4214,10512,0.40087519,8.2,78.3,2.1,7,88.2,0.6,64.3,115900,43524,2.6,5.7,84.1,31,706,783,0.039591315
cartercounty,27720,ky,cartercountyky,12803,24505,0.522464803,12.6,79.2,0.7,1.4,96.4,0.3,77.4,95000,34736,0.5,1.1,67.7,0,2263,2331,0
caseycounty,15955,ky,caseycountyky,7579,14391,0.5266486,12.8,76,1.1,2.9,94.4,0.4,77.3,87600,34819,1.1,4.1,35.9,0,1336,1417,0
christiancounty,73955,ky,christiancountyky,28239,64718,0.436339195,18.1,85.6,22.1,8.1,65.2,1.5,48.1,117400,43919,2.9,9.8,103.1,718,3340,4350,0.165057471
clarkcounty,35613,ky,clarkcountyky,9851,28523,0.345370403,20.1,86.2,4.8,3.1,90,0.7,67.4,145400,54953,1.6,3,141.1,113,2438,2665,0.042401501
claycounty,21730,ky,claycountyky,12105,19964,0.606341415,9.8,64.7,4.1,2.1,92.5,0.2,67.9,54100,26840,1,1.5,46.3,31,1657,1724,0.017981439
clintoncounty,10272,ky,clintoncountyky,5371,9529,0.563647812,10.3,73.2,0.6,2.9,94.9,0.3,69.5,72800,32184,1.1,3.1,52.1,0,947,978,0
crittendencounty,9315,ky,crittendencountyky,2911,7306,0.398439639,13.1,83.8,1.1,1.2,96,0.2,81.9,89900,45244,0.8,6.4,25.9,0,757,784,0
cumberlandcounty,6856,ky,cumberlandcountyky,2713,5969,0.454514994,13.3,81.8,2.9,1.5,93.4,0.2,72.9,89400,35344,1.2,3.7,22.5,0,548,595,0
daviesscounty,96656,ky,daviesscountyky,24871,73696,0.337481003,22.9,90,5.1,3.3,87.6,1.9,67.9,133600,51673,3,4.8,210.9,241,6629,7231,0.033328724
edmonsoncounty,12161,ky,edmonsoncountyky,4970,11703,0.424677433,10.3,78.1,2,1.5,94.7,0.4,80.4,87300,43401,0.2,1.3,40.2,0,1248,1279,0
elliottcounty,7852,ky,elliottcountyky,3887,7461,0.520975741,9.7,75,3.8,1.2,93.7,0.2,75.3,82700,32306,0.3,2.2,33.5,0,169,180,0
estillcounty,14672,ky,estillcountyky,7240,13142,0.550905494,9.9,75.6,0.5,1.3,97,0.1,72.1,76800,31688,0,0.2,58,25,842,890,0.028089888
fayettecounty,295803,ky,fayettecountyky,74096,206761,0.358365456,43.6,91.2,15.6,7.4,70.7,4.1,54.4,189800,57291,9.7,13.1,1042.8,3431,23928,28671,0.119667957
flemingcounty,14348,ky,flemingcountyky,5487,12899,0.425381813,12.9,79.6,1.5,1.5,95.6,0.3,73.2,89900,44612,0.4,3.9,41.2,0,1292,1330,0
floydcounty,39451,ky,floydcountyky,19789,37449,0.528425325,11.3,75.2,1.1,0.9,96.8,0.3,69.9,74400,32730,0.5,0.9,100.3,69,2863,3014,0.022893165
franklincounty,49285,ky,franklincountyky,11245,40043,0.280823115,29.9,89,10.6,3.6,81.5,2.1,62.8,142900,56274,4.2,5.9,237.2,292,3546,4085,0.071481028
fultoncounty,6813,ky,fultoncountyky,2071,4515,0.458693245,13.4,79.1,24.5,2.3,69.9,0.9,61.3,66100,30114,0.6,2.1,33.2,78,396,496,0.157258065
gallatincounty,8589,ky,gallatincountyky,3077,7439,0.413630864,11.6,81.2,1.7,5.2,91,0.5,72,128100,52167,2.4,4.1,84.8,0,419,446,0
garrardcounty,16912,ky,garrardcountyky,5891,16693,0.352902414,17.6,81,2.1,2.2,94,0.3,82.4,140500,52631,2,3.1,73.5,39,1528,1602,0.024344569
grantcounty,24662,ky,grantcountyky,9823,23282,0.421913925,12.9,86.6,1,2.9,94.3,0.5,68.5,130200,48714,1.3,2.8,95.6,58,1642,1766,0.032842582
gravescounty,37121,ky,gravescountyky,11752,32336,0.363433944,17.4,87.4,4.2,7.2,86,0.5,75.5,104300,44043,2.8,6.3,67.3,243,3020,3366,0.072192513
graysoncounty,25746,ky,graysoncountyky,11166,23355,0.478098908,10.5,81.5,1.2,1.4,95.8,0.3,72.6,113900,38612,1.2,1.6,51.8,34,2167,2306,0.014744146
greencounty,11258,ky,greencountyky,5034,11148,0.451560818,13.2,75.5,2,1.9,94.1,0.2,73.8,79500,35899,1,1.4,39.4,0,1040,1077,0
greenupcounty,36910,ky,greenupcountyky,11198,32059,0.34929349,17.1,89,0.9,1.1,96.1,0.6,77.6,116700,51655,0.8,1.1,107.2,33,2018,2143,0.015398973
hancockcounty,8565,ky,hancockcountyky,2431,7943,0.306055646,11.4,85.4,1.5,1.7,95.2,0.3,79.2,112300,57217,1,2.7,45.6,0,459,500,0
hardincounty,105543,ky,hardincountyky,27371,90532,0.302335086,22,90.5,12.7,5.8,75.8,2.3,61.5,156600,54367,3.8,6.6,169.3,899,5918,7146,0.125804646
harlancounty,29278,ky,harlancountyky,15389,25267,0.60905529,10.8,72.8,2.1,1.1,95,0.4,68.8,60300,26478,0.6,1.7,62.9,52,1362,1509,0.034459907
harrisoncounty,18846,ky,harrisoncountyky,5320,16375,0.324885496,14.6,82.1,2.3,2.5,93.4,0.3,69,140000,48438,0.9,2.8,61.5,26,1264,1329,0.019563582
hartcounty,18199,ky,hartcountyky,7726,15712,0.491726069,11.4,76.2,4.5,1.9,91.3,0.5,74.1,94400,38396,0.9,6.7,44.2,71,1619,1720,0.04127907
hendersoncounty,46250,ky,hendersoncountyky,11751,33281,0.353084342,18.2,86.9,8.4,2.8,86.1,0.6,61.3,128400,48926,1.5,2.5,105.9,106,3295,3569,0.029700196
henrycounty,15416,ky,henrycountyky,5232,14656,0.3569869,13.1,85.1,3,3.4,91.1,0.4,72.1,128700,53926,1.8,3.6,53.9,31,1163,1211,0.025598679
hickmancounty,4902,ky,hickmancountyky,2167,4699,0.461161949,15.8,80.1,9.4,2,85.8,0.4,82.8,80600,42929,1.2,2.1,20.2,0,262,283,0
hopkinscounty,46920,ky,hopkinscountyky,16551,41746,0.396469123,16.5,86.7,6.8,2.2,88.2,0.6,69.5,108700,47170,1.2,1.6,86.6,136,2852,3185,0.042700157
jacksoncounty,13494,ky,jacksoncountyky,6780,13270,0.510926903,13.8,74.6,0.3,0.9,97.8,0.1,75.2,87200,32138,0,1.2,39.1,0,912,945,0
jeffersoncounty,741096,ky,jeffersoncountyky,159413,503924,0.316343337,33.4,90.6,22.4,5.9,66.6,3,61.8,170100,56586,7.8,9.6,1948.1,11554,49585,63912,0.180779822
jessaminecounty,48586,ky,jessaminecountyky,11927,37704,0.316332485,29.5,87.3,4.6,3.7,88.3,1.3,64.6,172100,58245,5,6.1,282.3,307,4204,4643,0.066121042
johnsoncounty,23356,ky,johnsoncountyky,10167,22841,0.445120616,16.3,80.6,0.4,0.9,97,0.5,71.9,101300,37055,1.2,2.2,89.2,78,1619,1763,0.044242768
kentoncounty,159720,ky,kentoncountyky,32843,127054,0.258496387,31.7,89.9,4.9,3.4,88.2,1.3,66.1,161100,64339,3.3,4.5,996.7,912,10038,11306,0.080665134
knottcounty,16346,ky,knottcountyky,9496,16202,0.586100481,14.9,75.1,1,1.1,96.8,0.2,74.8,51500,31198,0.6,1.2,46.5,0,834,852,0
knoxcounty,31883,ky,knoxcountyky,17684,29856,0.592309753,14.2,73.5,1.3,1.3,95.5,0.4,65.5,86800,30181,1.5,1.2,82.5,30,1878,1980,0.015151515
